業種(飲食業）,業種（宿泊業）,施設名称,施設名称カナ,施設郵便番号,施設住所,施設住所(方書),認証日,施設住所市町村,緯度,経度
〇,,NANA starring,ナナスターリング,9900042,山形市七日町1-2-50,1F北,2021/9/24,山形市,38.2519511,140.3373305
〇,,七日町酒場SABOTEN,ナノカマチサカバサボテン,9900042,山形市七日町4-1-31,道産子ビル1Ｆ,2021/8/17,山形市,38.25203322,140.341891
〇,,なる鮨,ナルズシ,9902492,山形市鉄砲町1-4-21,村岡ビル内,2021/7/13,山形市,38.23962571,140.3321249
〇,,肉そば処　立花,ニクソバ　タチバナ,9902161,山形市漆山字住吉755-1,,2021/10/29,山形市,38.31107482,140.350889
〇,,肉そば　まると,ニクソバ　マルト,9902447,山形市元木2-9-37,,2021/7/13,山形市,38.223373,140.3200028
〇,,肉そば・鳥中華　ざぶん,ニクソバ・トリチュウカ　ザブン,9900813,山形市桧町3-9-2,,2021/11/2,山形市,38.277546,140.3304162
〇,,肉そば処　立花　南支店,ニクソバドコロ　タチバナ　ミナミシテン,9902353,山形市明石堂1-2,,2021/11/12,山形市,38.22991642,140.2958306
〇,,肉ばっか,ニクバッカ,9900042,山形市七日町4-9-13,,2021/10/18,山形市,38.2535258,140.3435563
〇,,ニクバル　グラッチェ,ニクバル　グラッチェ,9900039,山形市香澄町2-5-16,香澄ビル1F,2021/6/23,山形市,38.24784569,140.3317279
〇,,虹の華,ニジノハナ,9900042,山形市七日町5-10-19,YT15ビル1F,2021/7/21,山形市,38.25174146,140.3421691
〇,,弐番館　セリーヌ,ニバンカン　セリーヌ,9900039,山形市香澄町1-4-6,,2021/6/17,山形市,38.24818137,140.3296154
〇,,Nibbles,ニブルス,9900042,山形市七日町2-7-15,,2021/6/14,山形市,38.25372138,140.339781
〇,,日本料理　淀川,ニホンリョウリ　ヨドガワ,9900042,山形市七日町5-10-35,,2021/7/21,山形市,38.25105367,140.3431783
〇,,日本料理 花むら,ニホンリョウリハナムラ,9900039,山形市香澄町1-15-31,,2021/7/30,山形市,38.24941434,140.3292709
〇,,二〇加屋大衆,ニワカヤタイシュウ,9900039,山形市香澄町2-2-40,第二柿崎ビル1F,2021/10/21,山形市,38.2475064,140.3306535
〇,,寧々家　山形あかねヶ丘店,ネネヤ　ヤマガタアカネガオカテン,9902481,山形市あかねケ丘3-19-7　,,2021/10/7,山形市,38.2418058,140.3071385
〇,,寧々家　山形大野目店,ネネヤ　ヤマガタダイノメテン,9900073,山形市大野目2-57-1 ,,2021/10/8,山形市,38.27889111,140.3561874
〇,,寧々家　山形松見町店,ネネヤ　ヤマガタマツミチョウテン,9902413,山形市南原町3-21-20 ,,2021/10/18,山形市,38.23118431,140.3411607
〇,,ノアール,ノアール,9900042,山形市七日町2-4-18　　,YT七番館ビル1階,2021/10/26,山形市,38.25225879,140.3412554
〇,,のじ家,ノジヤ,9902462,山形市深町1-1-37,,2021/9/30,山形市,38.2356287,140.3192384
〇,,野のはな,ノノハナ,9902332,山形市飯田1-3-32,,2021/11/25,山形市,38.21541034,140.323628
〇,,呑み処　こすもす,ノミドコロ　コスモス,9900039,山形市香澄町3-5-20,丸久ビル301号,2021/6/9,山形市,38.24628165,140.3303332
〇,,吞処　ささや,ノミドコロ　ササヤ,9900039,山形市香澄町1-4-1,伊東ビル1F,2021/7/26,山形市,38.24828994,140.329212
〇,,音希,ノンキ,9900042,山形市七日町3-2-20,YTビルアネックス2F,2021/6/21,山形市,38.25413896,140.3415263
〇,,ノンブル,ノンブル,9900042,山形市七日町2-2-1,赤門ピアッザ2F,2021/7/30,山形市,38.25119149,140.3405572
〇,,BAR　香澄,バー　カスミ,9900039,山形市香澄町1-10-1,クラウンヒルズ山形1F,2021/9/3,山形市,38.24878758,140.3303799
〇,,bar corleone,バー　コルレオーネ,9900042,山形市七日町3-3-43,,2021/8/26,山形市,38.25321819,140.3416763
〇,,Bar 聖和,バー　セイワ,9902301,山形市蔵王温泉川原875-12,,2021/6/8,山形市,38.1666727,140.3982176
〇,,BAR　野村,バー　ノムラ,9900039,山形市香澄町1-14-12　,2F,2021/11/12,山形市,38.24997356,140.3300047
〇,,BAR Heat Roll,バー ヒートロール,9900042,山形市七日町2-1-25,,2021/7/20,山形市,38.25222191,140.3400343
〇,,Bar 4Dears,バー　フォーディアーズ,9900039,山形市香澄町1-13-15,YTパーレルビル2　2F,2021/5/28,山形市,38.24938112,140.330286
〇,,Bar & Dining あるバル,バーアンドダイニング　アルバル,9902423,山形市東青田4-6-21,2F,2021/5/8,山形市,38.22159639,140.3356329
〇,,Bar karakahl,バーカラカウル,9900039,山形市香澄町1-5-10,船山書店ビル2F,2021/7/6,山形市,38.24807958,140.3302817
〇,,PARK ZONE,パーク　ゾーン,9900039,山形市香澄町1-13-14,ブレス１號館4FC,2021/8/18,山形市,38.24946475,140.3301883
〇,,Bar Tarji,バータージ,9900042,山形市七日町2-7-28,YT二丁目ビル1F,2021/10/26,山形市,38.25311789,140.3409323
〇,,バードランド,バードランド,9900039,山形市香澄町1-6-3,,2021/7/9,山形市,38.2484545,140.3301511
〇,,BarBeerBong,バービアボング,9900042,山形市七日町2-2-1,赤門ビル4F,2021/7/1,山形市,38.25113988,140.3406537
〇,,BAR SAUDADE,バール　サウダージ,9900042,山形市七日町3-3-21,モンシェリービル1F,2021/7/30,山形市,38.25463974,140.3421437
〇,,パールピンク,パールピンク,9900039,山形市香澄町1-9-17,武田ビル2F,2021/11/17,山形市,38.24871196,140.3298077
〇,,博多もつ。佐のちゃん,ハカタモツ。サノチャン,9900039,山形市香澄町1-15-16,ラテス壱番館,2021/9/27,山形市,38.25039774,140.3297982
〇,,博多もつ鍋居酒屋　一酔,ハカタモツナベイザカヤ　イッスイ,9900039,山形市香澄町1-4-6,弐番館1F,2021/8/24,山形市,38.2482809,140.3296033
〇,,博多屋台まこっちゃん,ハカタヤタイマコッチャン,9900042,山形市七日町2-4-18,YTビル七番館,2021/10/18,山形市,38.25238727,140.3412004
〇,,馬かもん　山形店,バカモン　ヤマガタテン,9900039,山形市香澄町2-3-31,香澄町第三須藤ビル,2021/6/18,山形市,38.2468293,140.3327063
〇,,芭蕉茶屋,バショウチャヤ,9993301,山形市山寺1873,,2021/6/1,山形市,38.30979694,140.4326484
〇,,パスタ＆ランチ 151A　いちごいちえ,パスタアンドランチ　イチゴイチエ,9900071,山形市流通センター2-3,,2021/7/20,山形市,38.28982481,140.3561114
〇,,畑のごちそうナチュラルカフェ,ハタケノゴチソウナチュラルカフェ,9900023,山形市松波4-10-15,,2021/8/11,山形市,38.23920782,140.3664136
〇,,ぱっぷや　霞城セントラル店,パップヤ　カジョウセントラルテン,9900827,山形市城南町1-1-1,霞城セントラル内,2021/5/27,山形市,38.24987604,140.3268432
〇,,花菜,ハナ,9902433,山形市鳥居ケ丘1-46,グリーンミント 1F,2021/9/21,山形市,38.22971045,140.3289627
〇,,花寿司,ハナズシ,9900042,山形市七日町3-2-26,鈴木ビル1F,2021/6/25,山形市,38.25361581,140.3410967
〇,,花とお茶　鴇色,ハナトオチャ　トキイロ,9900042,山形市七日町2-4-8,,2021/10/26,山形市,38.25255,140.3414948
〇,,HANA火,ハナビ,9900042,山形市七日町3-3-3,,2021/8/17,山形市,38.2535647,140.3414003
〇,,花みずき,ハナミズキ,9900042,山形市七日町4-6-4,,2021/8/30,山形市,38.25340995,140.3440267
〇,,パブ　D・A・K・A・R・A,パブ　ダカラ,9900042,山形市七日町3-3-21,北斗第二ビル1F,2021/7/28,山形市,38.25452285,140.3423744
〇,,パブCBGB,パブシイビイジイビイ,9900039,山形市香澄町1-7-6,花笠ビルB1,2021/6/30,山形市,38.2485177,140.3296706
〇,,パブスナック　2PEACE,パブスナック　ツーピース,9900039,山形市香澄町1-4-1,伊東ビル2F,2021/6/30,山形市,38.24836524,140.3292462
〇,,パブラウンジ「やすらぎ」,パブラウンジヤスラギ,9900039,山形市香澄町1-4-6,弐番館ビル3F,2021/10/5,山形市,38.24825826,140.3296637
〇,,浜なす分店,ハマナスブンテン,9900042,山形市七日町4-6-7,,2021/6/10,山形市,38.25345535,140.3440913
〇,,バラード（ダイニング　バー）,バラード（ダイニング　バー）,9900039,山形市香澄町2-10-1,カスミビル1F,2021/7/29,山形市,38.2488255,140.3309901
〇,,パレスグランデール,パレスグランデール,9902432,山形市荒楯町1-17-40,,2021/5/26,山形市,38.23325095,140.330235
