業種(飲食業）,業種（宿泊業）,施設名称,施設名称カナ,施設郵便番号,施設住所,施設住所(方書),認証日,施設住所市町村,緯度,経度
,〇,割烹旅館・ビジネスホテル　よしのや,カッポウリョカン・ビジネスホテル　ヨシノヤ,9992174,高畠町大字福沢417-12,,2021/10/5,高畠町,37.9921948,140.1520857
,〇,加登屋旅館,カトヤリョカン,9995205,鮭川村大字中渡1312,,2021/8/6,鮭川村,38.81498795,140.1519869
,〇,株式会社カキザキ　ニューグランドホテル,カブシキガイシャカキザキ　ニューグランドホテル,9960025,新庄市若葉町4-23,,2021/6/24,新庄市,38.75863907,140.3050849
,〇,亀や,カメヤ,9971201,鶴岡市湯野浜1-5-50,,2021/5/12,鶴岡市,38.77701074,139.7496992
,〇,川西町浴浴センターまどか,カワニシマチヨクヨクセンターマドカ,9990121,川西町大字上小松5095-36,,2021/9/14,川西町,38.00197708,140.0314806
,〇,簡易宿泊施設　おらだずの宿　りんどう,カンイシュクハクシセツ　オラダズノヤド　リンドウ,9996211,最上町大字大堀679,,2021/6/30,最上町,38.75316333,140.4702301
,〇,喜至楼,キシロウ,9996211,最上町大字大堀988,,2021/6/22,最上町,38.75382406,140.412848
,〇,木村屋旅館,キムラヤリョカン,9960301,大蔵村南山532,,2021/6/28,大蔵村,38.606361,140.1651227
,〇,休暇村　庄内羽黒,キュウカムラ　ショウナイハグロ,9970211,鶴岡市羽黒町手向字羽黒山8,,2021/7/28,鶴岡市,38.69028739,139.9839141
,〇,協同の杜JA研修所(一般財団法人地域協同社会研究センター),キョウドウノモリジェイエーケンシュウジョ(イッパンザイダンホウジンチイキキョウドウケンキュウセンター),9902375,山形市東古館123,,2021/11/19,山形市,38.2655842,140.2736446
,〇,木林森カフェ・B&B,キリンモリカフェ　ビーアンドビー,9920832,白鷹町大字荒砥乙557-5,,2021/6/16,白鷹町,38.18291528,140.1044712
,〇,金生舘,キンセイカン,9960301,大蔵村大字南山2156-1,,2021/12/3,大蔵村,38.60758898,140.1548466
,〇,クアハウス碁点,クアハウスゴテン,9950209,村山市碁点1034-7,,2021/10/25,村山市,38.48488411,140.3444766
,〇,九兵衛旅館,クヘエリョカン,9970752,鶴岡市湯田川乙19,,2021/5/8,鶴岡市,38.69259843,139.7697503
,〇,蔵民宿　あおやぎ,クラミンシュク　アオヤギ,9950203,村山市大槙422,,2021/12/8,村山市,38.49508366,140.3452443
,〇,黒沢温泉　一陽館,クロサワオンセンイチヨウカン,9902311,山形市大字黒沢253-1,,2021/7/8,山形市,38.19217804,140.3021942
