業種(飲食業）,業種（宿泊業）,施設名称,施設名称カナ,施設郵便番号,施設住所,施設住所(方書),認証日,施設住所市町村,緯度,経度
〇,,みづき庵,ミヅキアン,9992243,南陽市鍋田1985-1,,2021/11/4,南陽市,38.03315018,140.1574825
〇,,みつわ会,ミツワカイ,9996102,最上町大字東法田417,,2021/7/27,最上町,38.7924686,140.5068116
〇,,美都寿し,ミトズシ,9970029,鶴岡市日吉町2-1,,2021/11/17,鶴岡市,38.7364946,139.83676
〇,,みどり食堂,ミドリショクドウ,9970046,鶴岡市みどり町13-17,,2021/8/26,鶴岡市,38.7330384,139.8095421
〇,,美どり亭,ミドリテイ,9900703,西川町間沢53-1,,2021/10/4,西川町,38.42987831,140.1310144
〇,,緑のイスキア　ジェラート工房「みどりちゃん」,ミドリノイスキア　ジェラートコウボウ「ミドリチャン」,9970161,鶴岡市羽黒町押口字川端37-7,,2021/7/8,鶴岡市,38.73542917,139.8585406
〇,,緑の迎賓館　ANGELINA,ミドリノゲイヒンカン　アンジェリーナ,9940028,天童市鍬ノ町2-1-50,,2021/6/16,天童市,38.35847324,140.3848402
〇,,湊pan,ミナトパン,9980864,酒田市新橋2-9-1,,2021/8/30,酒田市,38.91848849,139.8539495
〇,,南銀座　池田　お食事処「蝶や」,ミナミギンザ　イケダ　オショクジドコロ　チョウヤ,9970034,鶴岡市本町2-2-27,,2021/7/20,鶴岡市,38.72418601,139.8298103
〇,,美穂,ミホ,9960025,新庄市若葉町18-7,,2021/8/31,新庄市,38.76179828,140.3010403
〇,,美森マルシェ,ミモリマルシェ,9991332,小国町町原45-1,,2021/10/14,小国町,38.04403177,139.7679838
〇,,ミュージックパブ音魂,ミュージックパブオンタマ,9920045,米沢市中央1-4-8,シュガー第3ビル2F,2021/7/14,米沢市,37.91293632,140.112106
〇,,みよしや,ミヨシヤ,9991351,小国町大字小国町154,,2021/9/13,小国町,38.06056199,139.7490665
〇,,味楽処　寶千,ミラクドコロ　ホウセン,9970832,鶴岡市青柳町23-12,,2021/6/24,鶴岡市,38.7259355,139.813983
〇,,狸森焙煎所,ムジナモリバイセンジョ,9993171,上山市狸森1198-8,,2021/11/10,上山市,38.1865208,140.2180395
〇,,村山駅2F売店内　愛亭,ムラヤマエキニカイバイテンナイ　アイテイ,9950033,村山市楯岡新町1-10-1,村山駅2F,2021/11/15,村山市,38.4771045,140.3864825
〇,,名人の湯（カフェ）,メイジンノユ（カフェ）,9993156,上山市湯町4-7,,2021/10/4,上山市,38.16065313,140.2768368
〇,,名代そば処　福原屋,メイダイソバドコロ　フクハラヤ,9994229,尾花沢市横町1-3-1,,2021/8/17,尾花沢市,38.60694856,140.4047563
〇,,目利きの銀次　鶴岡駅前店,メキキノギンジ　ツルオカエキマエテン,9970015,鶴岡市末広町6-1-1,,2021/11/1,鶴岡市,38.7383385,139.8353109
〇,,めざみの里観光物産館内レストラン,メザミノサトカンコウブッサンカンナイレストラン,9990606,飯豊町大字松原1898,道の駅いいで・めざみの里観光物産館,2021/10/28,飯豊町,38.02581292,139.9935821
〇,,めん工房　さらしな,メンコウボウ　サラシナ,9980842,酒田市亀ヶ崎5-4-40,,2021/6/14,酒田市,38.89997014,139.8444525
〇,,麺工房　太麺屋,メンコウボウ　フトメンヤ,9970015,鶴岡市末広町29-20,,2021/11/19,鶴岡市,38.7414121,139.8416589
〇,,麺's きっちん,メンズキッチン,9993720,東根市さくらんぼ駅前3-9-2,,2021/9/3,東根市,38.42663409,140.3856587
〇,,めん蔵 長井店,メンゾウ　ナガイテン,9930013,長井市館町南9-64,,2021/10/7,長井市,38.09265264,140.0420727
〇,,めん蔵三川店,メンゾウミカワテン,9971316,三川町大字猪子字和田庫128-1,イオンモール三川店内,2021/10/20,三川町,38.81584434,139.8365493
〇,,麵処　あべ,メンドコロ　アベ,9980834,酒田市若竹町1-13-20,,2021/10/4,酒田市,38.90396196,139.8341665
〇,,麺PEACE,メンピース,9960023,新庄市沖の町2-12,,2021/9/14,新庄市,38.7618576,140.3044068
〇,,麺武者,メンムシャ,9960001,新庄市五日町字清水川1280-37,,2021/8/20,新庄市,38.76990744,140.30675
〇,,麺屋　新三,メンヤ　シンザン,9980022,酒田市駅東2-2-10,,2021/7/2,酒田市,38.92301311,139.8480752
〇,,麺屋いたがき,メンヤイタガキ,9970816,鶴岡市文園町1-29,,2021/6/25,鶴岡市,38.7175743,139.8294209
〇,,麺や兼蔵,メンヤケンゾウ,9992211,南陽市赤湯823-4,パリエンテナント1F,2021/10/14,南陽市,38.04973811,140.1648642
〇,,麺屋酒田　ほなみ店,メンヤサカタ　ホナミテン,9970862,鶴岡市ほなみ町11-13,,2021/10/25,鶴岡市,38.71542112,139.8457661
〇,,麺屋酒田　本店,メンヤサカタ　ホンテン,9980842,酒田市亀ヶ崎4-18-5,,2021/11/16,酒田市,38.8996564,139.8436221
〇,,麺屋酒田　みなと店,メンヤサカタミナトテン,9980036,酒田市船場町2-3-5,,2021/10/29,酒田市,38.91398529,139.8321923
〇,,麺屋へえべ,メンヤヘエベ,9990213,川西町大字尾長島858-1,,2021/9/28,川西町,37.976725,140.1025049
〇,,麺家わたべ,メンヤワタベ,9992178,高畠町大字上平柳2010-2,,2021/9/7,高畠町,37.99090311,140.1446132
〇,,麺屋笑楽,メンヤワラク,9998422,酒田市千代田字西谷地228-13,,2021/11/11,酒田市,38.99895602,139.8682752
〇,,最上川千本だんご,モガミガワセンボンダンゴ,9994111,大石田町大石田乙76,,2021/11/16,大石田町,38.58889392,140.3709553
〇,,もがみ寿し,モガミスシ,9995312,真室川町大字新町141-12,,2021/12/2,真室川町,38.85988954,140.2546133
〇,,茂木食堂,モギショクドウ,9990121,川西町上小松1644,,2021/5/31,川西町,38.0045352,140.0479562
〇,,モスバーガー 寒河江店,モスバーガー　サガエテン,9910003,寒河江市西根字上川原225-1,,2021/10/6,寒河江市,38.3945903,140.2811341
〇,,モスバーガー 酒田南店,モスバーガー　サカタミナミテン,9980831,酒田市両羽町7-2,,2021/10/8,酒田市,38.89260481,139.8499204
〇,,モスバーガー さくらんぼ東根駅前店,モスバーガー　サクランボヒガシネエキマエテン,9993716,東根市さくらんぼ駅前1-7-23,,2021/10/5,東根市,38.42972398,140.3828434
〇,,モスバーガー　新庄店,モスバーガー　シンジョウテン,9960001,新庄市五日町字清水川1311-1,,2021/9/27,新庄市,38.77250076,140.309451
〇,,モスバーガー 鶴岡店,モスバーガー　ツルオカテン,9970003,鶴岡市大字文下字広野12,,2021/10/8,鶴岡市,38.7599157,139.8446995
〇,,モスバーガー 天童店,モスバーガー　テンドウテン,9940024,天童市大字山元字鎌田2588,,2021/10/6,天童市,38.36080442,140.38857
〇,,もちや,モチヤ,9990214,川西町吉田3642-2,,2021/10/25,川西町,38.00930763,140.1070552
〇,,もつ焼陣八,モツヤキジンパチ,9992211,南陽市赤湯395,,2021/9/24,南陽市,38.04762381,140.1661088
〇,,百福亭,モモフクテイ,9992211,南陽市赤湯2926-2,,2021/8/31,南陽市,38.04665677,140.1716193
〇,,森の中のかくれ家レストラン　ローズガーデン,モリノナカノカクレガレストラン　ローズガーデン,9920012,米沢市金池8-4-10,,2021/6/10,米沢市,37.92923125,140.1205553
〇,,焼きそば専門店　テンテン,ヤキソバセンモンテン　テンテン,9997781,庄内町余目字猿田1-2,,2021/11/19,庄内町,38.84928286,139.9030721
〇,,やきとり　くし童,ヤキトリ　クシドウ,9940025,天童市鎌田本町1-3-15,と横丁内,2021/6/9,天童市,38.36007578,140.3813169
〇,,やきとり　けやき,ヤキトリ　ケヤキ,9910043,寒河江市大字寒河江字鶴田20-1,,2021/8/11,寒河江市,38.3798918,140.2623018
〇,,やきとり　順,ヤキトリ　ジュン,9998235,酒田市観音寺字町後19-1,,2021/9/7,酒田市,38.97039913,139.9418094
〇,,焼鳥　しんち,ヤキトリ　シンチ,9980865,酒田市北新橋1-11-2,,2021/9/3,酒田市,38.92298926,139.8552413
〇,,焼鳥　二代,ヤキトリ　ニダイ,9990091,新庄市十日町567-18,,2021/10/19,新庄市,38.77615409,140.300803
〇,,やきとり　ばん,ヤキトリ　バン,9970812,鶴岡市長者町18-4,,2021/6/7,鶴岡市,38.71865,139.8336733
〇,,焼き鳥　英,ヤキトリ　ヒデ,9992211,南陽市赤湯262,,2021/6/10,南陽市,38.04682852,140.1658708
〇,,やきとり　ぶんちゃん,ヤキトリ　ブンチャン,9900401,中山町長崎885-1,,2021/7/29,中山町,38.33496813,140.2905557
〇,,焼とり　孫ちゃん,ヤキトリ　マゴチャン,9998232,酒田市市条字荒瀬96,,2021/10/12,酒田市,38.9660675,139.9319867
〇,,焼き鳥　宮壱,ヤキトリ　ミヤイチ,9996101,最上町大字向町644-9,,2021/7/8,最上町,38.75870552,140.5192463
〇,,やきとり　山,ヤキトリ　ヤマ,9970334,鶴岡市丸岡字町の内291-19,,2021/9/27,鶴岡市,38.6788626,139.8349964
〇,,やきとり山丸横尾,ヤキトリ　ヤママルヨコオ,9910031,寒河江市本町2-9-25,,2021/9/15,寒河江市,38.3779089,140.2765391
〇,,やきとり一平,ヤキトリイッペイ,9997781,庄内町余目字猿田4-25,,2021/11/17,庄内町,38.84914641,139.9013704
〇,,焼き鳥倉沢屋,ヤキトリクラサワヤ,9970035,鶴岡市馬場町8-3,,2021/7/8,鶴岡市,38.72667881,139.8289697
〇,,焼きとりこいこい,ヤキトリコイコイ,9910023,寒河江市丸内3-7-5,,2021/10/19,寒河江市,38.37700734,140.283516
〇,,やきとり庄ちゃん,ヤキトリショウチャン,9910053,寒河江市元町2-6-4,,2021/10/19,寒河江市,38.37062822,140.2729937
〇,,やきとり大吉高畠店,ヤキトリダイキチタカハタテン,9920351,高畠町大字高畠542,,2021/12/14,高畠町,38.00356507,140.192013
〇,,やきとり長作,ヤキトリチョウサク,9960023,新庄市沖の町10-57,,2021/6/24,新庄市,38.76456939,140.3026099
〇,,やきとり鳥々屋,ヤキトリトトヤ,9950033,村山市楯岡新町4-10-1,,2021/11/17,村山市,38.4692374,140.3926325
〇,,焼鳥とり香,ヤキトリトリコウ,9910041,寒河江市大字寒河江字石田42-6,,2021/6/29,寒河江市,38.36691365,140.2785363
〇,,やきとり鳥舟,ヤキトリトリフネ,9960025,新庄市若葉町14-4,,2021/6/8,新庄市,38.76121768,140.3020626
〇,,焼鳥ホルモン堀,ヤキトリホルモン　ホリ,9995402,金山町大字金山468-22,,2021/7/20,金山町,38.8761104,140.3347004
〇,,やきとり万兵衛,ヤキトリマンベイ,9970015,鶴岡市末広町13-15,,2021/12/3,鶴岡市,38.73846135,139.8382053
〇,,やきとりみさき,ヤキトリミサキ,9971124,鶴岡市大山2-22-4,,2021/9/17,鶴岡市,38.74797962,139.7647992
〇,,やきとり茂八,ヤキトリモハチ,9993706,東根市三日町4-1-32,,2021/12/6,東根市,38.44343441,140.3960611
〇,,やきとり八重,ヤキトリヤエ,9970034,鶴岡市本町2-3-14,,2021/10/11,鶴岡市,38.724603,139.8314331
〇,,焼肉　あがり屋,ヤキニク　アガリヤ,9970024,鶴岡市朝陽町3-13,,2021/8/23,鶴岡市,38.728778,139.843699
〇,,やき肉　黒獅子,ヤキニク　クロジシ,9930075,長井市成田2170-2,,2021/9/10,長井市,38.12068224,140.0335598
〇,,焼肉　食道園,ヤキニク　ショクドウエン,9980044,酒田市中町2-1-14,,2021/12/7,酒田市,38.91767267,139.8367677
〇,,焼肉　鶴亀堂　分家,ヤキニク　ツルカメドウ　ブンケ,9940047,天童市駅西3-8-7,,2021/10/28,天童市,38.35868722,140.3652769
〇,,焼肉　鶴亀堂　本店,ヤキニク　ツルカメドウ　ホンテン,9940013,天童市老野森1-15-17-1,,2021/10/28,天童市,38.3629417,140.3814392
〇,,焼肉・ホルモン　NIKU THE KURA,ヤキニク　ホルモン　ニクザクラ,9997781,庄内町余目字沢田108-1,,2021/7/29,庄内町,38.8442902,139.910706
〇,,焼肉　丸正,ヤキニク　マルショウ,9900301,山辺町大字山辺2793-6,,2021/12/7,山辺町,38.29505625,140.2718175
〇,,焼肉・冷麺　明月館,ヤキニク・レイメン　メイゲツカン,9992211,南陽市赤湯472-3,,2021/10/7,南陽市,38.04848021,140.1680038
〇,,焼肉曉-AKATSUKI-,ヤキニクアカツキ,9993135,上山市南町3-42,,2021/10/13,上山市,38.15064198,140.2743762
〇,,焼肉いわじ,ヤキニクイワジ,9970015,鶴岡市末広町15−20,マリカ駐車場ビル1階,2021/9/29,鶴岡市,38.73893634,139.8370979
〇,,焼肉きんぐ酒田店,ヤキニクキングサカタテン,9980831,酒田市東両羽町8-7,,2021/11/24,酒田市,38.89207254,139.8494585
〇,,焼肉牛縁,ヤキニクゴエン,9940014,天童市糠塚1-11-28,,2021/9/27,天童市,38.36506973,140.3809792
〇,,焼肉しゃぶしゃぶ平田牧場,ヤキニクシャブシャブヒラタボクジョウ,9980853,酒田市みずほ2-18-8,,2021/5/25,酒田市,38.9017656,139.8547245
〇,,焼肉酒家　さとる,ヤキニクシュカ　サトル,9980044,酒田市中町3-2-27,,2021/9/8,酒田市,38.91892449,139.8341423
〇,,焼肉翠苑みずほ店,ヤキニクスイエンミズホテン,9980841,酒田市松原南5−11,,2021/9/14,酒田市,38.9017693,139.8529462
