業種(飲食業）,業種（宿泊業）,施設名称,施設名称カナ,施設郵便番号,施設住所,施設住所(方書),認証日,施設住所市町村,緯度,経度
〇,〇,粋の宿　招湯苑,イキノヤド　ショウトウエン,9920039,米沢市門東町1-4-5,,2021/7/16,米沢市,37.90699414,140.1083263
〇,,池田食堂,イケダショクドウ,9970034,鶴岡市本町3-9-6,,2021/9/27,鶴岡市,38.72451907,139.8214713
〇,,いこい寿し,イコイズシ,9920351,高畠町大字高畠688,,2021/8/20,高畠町,38.00305814,140.1963356
〇,,いこい処　冨美館,イコイドコロ　フミヤ,9900039,山形市香澄町1-13-17,YT1丁目ビル,2021/7/29,山形市,38.24931192,140.3302403
,〇,いこいの宿　農,イコイノヤド　ノウ,9970023,鶴岡市鳥居町34-16,,2021/5/27,鶴岡市,38.72680572,139.8367095
〇,,イサオティーノ,イサオティーノ,9900042,山形市七日町2-4-8,,2021/10/20,山形市,38.25257107,140.3414117
〇,,居酒PUB　Wai Wai,イザカパブ　ワイワイ,9900039,山形市香澄町1-9-6,C&Dビル5F,2021/6/14,山形市,38.24887446,140.3298452
〇,,居酒屋　秋田人,イザカヤ　アキタビト,9993765,東根市神町南1-1-16,,2021/8/11,東根市,38.40234521,140.3808564
〇,,居酒屋　味山海,イザカヤ　アジサンカイ,9900043,山形市本町2-4-21,,2021/5/8,山形市,38.25178584,140.3387644
〇,,居酒屋　磯舟,イザカヤ　イソブネ,9995402,金山町金山440-6,,2021/9/13,金山町,38.8831181,140.3372476
〇,,居酒屋　糸車,イザカヤ　イトグルマ,9900039,山形市香澄町3-5-20,,2021/7/29,山形市,38.2461658,140.3302648
〇,,居酒家　今　ima,イザカヤ　イマ,9998235,酒田市観音寺字町後7-50,,2021/8/26,酒田市,38.97100458,139.9394044
〇,,居酒屋　魚新,イザカヤ　ウオシン,9910053,寒河江市元町1-13-11,,2021/7/13,寒河江市,38.37228591,140.270652
〇,,居酒屋　魚忠,イザカヤ　ウオチュウ,9997631,鶴岡市八色木字前田元5-2,,2021/7/7,鶴岡市,38.78999134,139.8993713
〇,,居酒屋　えん,イザカヤ　エン,9940013,天童市老野森1-15-1,C,2021/11/5,天童市,38.36270919,140.3803744
〇,,居酒屋　おおたき,イザカヤ　オオタキ,9900038,山形市幸町12-38,,2021/6/29,山形市,38.2430071,140.3270952
〇,,居酒屋　おかめ,イザカヤ　オカメ,9900042,山形市七日町3-4-26,,2021/6/21,山形市,38.25466096,140.3423621
〇,,居酒家　おてだま,イザカヤ　オテダマ,9902331,山形市飯田西4-4-13,,2021/11/29,山形市,38.21490462,140.3217656
〇,,居酒屋　鬼次,イザカヤ　オニジ,9900813,山形市桧町4-7-1,,2021/9/8,山形市,38.27621651,140.3269655
〇,,居酒屋　おんどる,イザカヤ　オンドル,9980035,酒田市寿町6-21,,2021/11/16,酒田市,38.91923276,139.8346493
〇,,居酒屋　海幸,イザカヤ　カイコウ,9940015,天童市泉町1-1-4,,2021/12/13,天童市,38.36177075,140.381738
〇,,居酒屋　吉左右,イザカヤ　キッソウ,9900043,山形市本町2-3-57,,2021/9/8,山形市,38.249787,140.3393827
〇,,居酒屋　銀次郎,イザカヤ　ギンジロウ,9900067,山形市花楯1-1-20,,2021/11/1,山形市,38.270831,140.3489485
〇,,居酒屋　串でん,イザカヤ　クシデン,9900039,山形市香澄町1-15-20,,2021/6/16,山形市,38.25025578,140.3298624
〇,,居酒屋　倉,イザカヤ　クラ,9900038,山形市幸町6-13,板垣ビル1F,2021/6/16,山形市,38.2464426,140.3293387
〇,,居酒屋　ごう,イザカヤ　ゴウ,9900032,山形市小姓町1-14,,2021/7/20,山形市,38.24718226,140.339376
〇,,居酒屋　廣月,イザカヤ　コウゲツ,9902443,山形市南三番町1-1,,2021/6/22,山形市,38.2327993,140.3231507
〇,,居酒屋　小林食堂,イザカヤ　コバヤシショクドウ,9970404,庄内町余目三人谷地36,,2021/11/11,庄内町,38.8474136,139.9072235
〇,,居酒屋　こや,イザカヤ　コヤ,9960023,新庄市沖の町1-25,,2021/5/25,新庄市,38.7645596,140.3041931
〇,,居酒屋　こんの,イザカヤ　コンノ,9900311,山辺町近江5-43,,2021/10/19,山辺町,38.28095812,140.2728362
〇,,居酒屋　佐助,イザカヤ　サスケ,9998521,遊佐町吹浦字下川原10-5,,2021/8/10,遊佐町,39.0711979,139.8786713
〇,,居酒屋　写楽亭,イザカヤ　シャラクテイ,9940026,天童市東本町2-8-14,,2021/11/30,天童市,38.35942959,140.3801347
〇,,居酒屋　庄兵衛,イザカヤ　ショウベイ,9902332,山形市飯田3-1-2,,2021/8/4,山形市,38.21686732,140.3325845
〇,,居酒屋　志らせ,イザカヤ　シラセ,9992211,南陽市赤湯793-1,,2021/10/5,南陽市,38.0490707,140.1663188
〇,,居酒屋　新我が家,イザカヤ　シンワガヤ,9900038,山形市幸町5-12,,2021/7/30,山形市,38.2466686,140.3282407
〇,,居酒屋　大都会,イザカヤ　ダイトカイ,9992262,南陽市若狭郷屋236-1,,2021/8/25,南陽市,38.05122517,140.1484927
〇,,居酒屋　たいむ,イザカヤ　タイム,9993511,河北町谷地甲108,,2021/9/15,河北町,38.422884,140.314831
〇,,居酒屋　大龍,イザカヤ　ダイリュウ,9930001,長井市ままの上9-34,,2021/11/17,長井市,38.10541845,140.0399213
〇,,居酒家　大漁船,イザカヤ　タイリョウブネ,9993764,東根市神町東3-8-31,,2021/11/2,東根市,38.40302585,140.3803563
〇,,居酒屋　たかもり,イザカヤ　タカモリ,9970034,鶴岡市本町3-1-39,,2021/8/25,鶴岡市,38.7255109,139.8253141
〇,,居酒屋　宝,イザカヤ　タカラ,9940026,天童市東本町2-5-24,,2021/11/30,天童市,38.36045212,140.3784457
〇,,居酒屋　たぬき,イザカヤ　タヌキ,9980044,酒田市中町2-2-28,,2021/11/10,酒田市,38.918319,139.8356321
〇,,居酒屋　だんだん,イザカヤ　ダンダン,9960025,新庄市若葉町14-36,リーフムーンビル1F,2021/6/16,新庄市,38.76152813,140.3018442
〇,,居酒屋　つどい,イザカヤ　ツドイ,9910031,寒河江市本町1-3-7,第一フォレスト2F,2021/8/24,寒河江市,38.3738367,140.2745346
〇,,居酒屋　つぼみ,イザカヤ　ツボミ,9900039,山形市香澄町1-5-3,第２大宝ビル　1F,2021/11/22,山形市,38.24786666,140.3299879
〇,,居酒屋　田々,イザカヤ　デンデン,9900039,山形市香澄町1-9-1,珍味ビル2F北,2021/6/7,山形市,38.24878472,140.3294806
〇,,居酒家　土間土間　山形店,イザカヤ　ドマドマ　ヤマガタテン,9900039,山形市香澄町2-3-35,ヤマキビル1F,2021/6/25,山形市,38.2470166,140.3322636
〇,,居酒屋　ともとも,イザカヤ　トモトモ,9940025,天童市鎌田本町1-6-22,,2021/11/22,天童市,38.36065752,140.3814044
〇,,居酒屋　春,イザカヤ　ハル,9940025,天童市鎌田本町2-3-6,1F,2021/10/28,天童市,38.35892809,140.3856297
〇,,居酒屋　ひょうたん,イザカヤ　ヒョウタン,9900039,山形市香澄町1-8-8,第一ビル1F,2021/6/24,山形市,38.2487056,140.3292258
〇,,居酒屋　廣巳,イザカヤ　ヒロミ,9900523,寒河江市八鍬784-8,,2021/8/19,寒河江市,38.39794103,140.2490981
〇,,居酒屋　ふあんたじぃ,イザカヤ　ファンタジィ,9993153,上山市十日町1-25,,2021/9/2,上山市,38.1553258,140.2772112
〇,,居酒屋　深堀,イザカヤ　フカボリ,9900834,山形市清住町1-3-21,,2021/11/24,山形市,38.2552998,140.3180576
〇,,居酒屋　豊饒,イザカヤ　ホウジョウ,9930001,長井市ままの上4-8,,2021/10/25,長井市,38.10757713,140.0398491
〇,,居酒屋　蛍,イザカヤ　ホタル,9996105,最上町大字富沢900,,2021/6/9,最上町,38.71225917,140.5514677
〇,,居酒屋　北海　漁舟群,イザカヤ　ホッカイ　ギョセングン,9900038,山形市幸町7-34,,2021/8/18,山形市,38.24461409,140.3283852
〇,,居酒屋　ぽん太,イザカヤ　ポンタ,9996861,酒田市山田23-12,,2021/11/16,酒田市,38.85733628,139.9560317
〇,,居酒屋　まだこえちゃ,イザカヤ　マダコエチャ,9950034,村山市楯岡五日町16-1,,2021/9/3,村山市,38.47797746,140.3865709
〇,,居酒屋　満丸,イザカヤ　マンマル,9900042,山形市七日町4-15-38,,2021/7/5,山形市,38.25418769,140.3438503
〇,,居酒屋　南,イザカヤ　ミナミ,9994231,尾花沢市北町1-1-5,,2021/10/20,尾花沢市,38.61040331,140.4094124
〇,,居酒屋　峰,イザカヤ　ミネ,9994224,尾花沢市新町1-6-34,,2021/11/4,尾花沢市,38.60214201,140.4102069
〇,,居酒屋　雅,イザカヤ　ミヤビ,9900023,山形市松波2-2-8,マルヨシビルA棟1F北,2021/6/14,山形市,38.2413988,140.3573806
〇,,居酒屋　八重,イザカヤ　ヤエ,9900042,山形市七日町3-4-24,地下1階,2021/10/14,山形市,38.25464196,140.3424739
〇,,居酒屋　やま美,イザカヤ　ヤマミ,9900831,山形市西田2-24-55,,2021/6/25,山形市,38.26417494,140.3116915
